experiment_id,operator,ascii_code,input_state,output_state,output_prob,operation_type,entropy,num_states,all_outputs
1,SUB,26,101,101,1.000,IDENTITY,0.000,1,{'101': 100}
2,HT,9,101,011,1.000,DETERMINISTIC,0.000,1,{'011': 100}
3,CR,13,101,110,1.000,DETERMINISTIC,0.000,1,{'110': 100}
4,FS,28,101,110,1.000,DETERMINISTIC,0.000,1,{'110': 100}
5,RS,30,101,011,1.000,DETERMINISTIC,0.000,1,{'011': 100}
6,NUL,0,000,000,1.000,IDENTITY,0.000,1,{'000': 100}
7,NUL,0,001,100,1.000,DETERMINISTIC,0.000,1,{'100': 100}
8,NUL,0,010,010,1.000,IDENTITY,0.000,1,{'010': 100}
9,NUL,0,011,110,1.000,DETERMINISTIC,0.000,1,{'110': 100}
10,NUL,0,100,001,1.000,DETERMINISTIC,0.000,1,{'001': 100}
11,NUL,0,101,101,1.000,IDENTITY,0.000,1,{'101': 100}
12,NUL,0,110,011,1.000,DETERMINISTIC,0.000,1,{'011': 100}
13,NUL,0,111,111,1.000,IDENTITY,0.000,1,{'111': 100}
14,ETX,3,000,101,0.150,FULL_SUPERPOSITION,2.978,8,"{'001': 14, '101': 15, '111': 11, '100': 15, '011': 12, '000': 14, '010': 9, '110': 10}"
15,ETX,3,001,010,0.190,FULL_SUPERPOSITION,2.904,8,"{'000': 7, '001': 16, '010': 19, '101': 18, '111': 14, '100': 10, '110': 8, '011': 8}"
16,ETX,3,010,001,0.160,FULL_SUPERPOSITION,2.959,8,"{'000': 12, '010': 14, '110': 12, '111': 14, '011': 12, '100': 14, '001': 16, '101': 6}"
17,ETX,3,011,000,0.180,FULL_SUPERPOSITION,2.918,8,"{'111': 16, '010': 12, '110': 11, '001': 14, '100': 6, '101': 16, '000': 18, '011': 7}"
18,ETX,3,100,100,0.180,FULL_SUPERPOSITION,2.966,8,"{'110': 14, '000': 11, '010': 14, '001': 11, '100': 18, '101': 12, '011': 12, '111': 8}"
19,ETX,3,101,011,0.200,FULL_SUPERPOSITION,2.913,8,"{'110': 12, '011': 20, '000': 17, '010': 6, '101': 13, '111': 14, '001': 8, '100': 10}"
20,ETX,3,110,110,0.150,FULL_SUPERPOSITION,2.926,8,"{'110': 15, '001': 15, '100': 10, '010': 14, '111': 13, '000': 14, '011': 15, '101': 4}"
21,ETX,3,111,010,0.190,FULL_SUPERPOSITION,2.938,8,"{'010': 19, '101': 12, '100': 16, '011': 7, '000': 13, '001': 12, '111': 8, '110': 13}"
22,BEL,7,000,111,0.500,BELL_PAIR,1.000,2,"{'111': 50, '000': 50}"
23,BEL,7,001,100,0.520,BELL_PAIR,0.999,2,"{'011': 48, '100': 52}"
24,BEL,7,010,101,0.520,BELL_PAIR,0.999,2,"{'101': 52, '010': 48}"
25,BEL,7,011,110,0.520,BELL_PAIR,0.999,2,"{'001': 48, '110': 52}"
26,BEL,7,100,000,0.510,BELL_PAIR,1.000,2,"{'111': 49, '000': 51}"
27,BEL,7,101,011,0.550,BELL_PAIR,0.993,2,"{'011': 55, '100': 45}"
28,BEL,7,110,010,0.500,BELL_PAIR,1.000,2,"{'010': 50, '101': 50}"
29,BEL,7,111,110,0.530,BELL_PAIR,0.997,2,"{'001': 47, '110': 53}"
30,BS,8,000,111,1.000,DETERMINISTIC,0.000,1,{'111': 100}
31,BS,8,001,011,1.000,DETERMINISTIC,0.000,1,{'011': 100}
32,BS,8,010,101,1.000,DETERMINISTIC,0.000,1,{'101': 100}
33,BS,8,011,001,1.000,DETERMINISTIC,0.000,1,{'001': 100}
34,BS,8,100,110,1.000,DETERMINISTIC,0.000,1,{'110': 100}
35,BS,8,101,010,1.000,DETERMINISTIC,0.000,1,{'010': 100}
36,BS,8,110,100,1.000,DETERMINISTIC,0.000,1,{'100': 100}
37,BS,8,111,000,1.000,DETERMINISTIC,0.000,1,{'000': 100}
38,SYN,22,000,000,1.000,IDENTITY,0.000,1,{'000': 100}
39,SYN,22,001,100,1.000,DETERMINISTIC,0.000,1,{'100': 100}
40,SYN,22,010,010,1.000,IDENTITY,0.000,1,{'010': 100}
41,SYN,22,011,110,1.000,DETERMINISTIC,0.000,1,{'110': 100}
42,SYN,22,100,111,1.000,DETERMINISTIC,0.000,1,{'111': 100}
43,SYN,22,101,011,1.000,DETERMINISTIC,0.000,1,{'011': 100}
44,SYN,22,110,101,1.000,DETERMINISTIC,0.000,1,{'101': 100}
45,SYN,22,111,001,1.000,DETERMINISTIC,0.000,1,{'001': 100}
46,ACK,6,000,000,1.000,IDENTITY,0.000,1,{'000': 100}
47,ACK,6,001,100,1.000,DETERMINISTIC,0.000,1,{'100': 100}
48,ACK,6,010,010,1.000,IDENTITY,0.000,1,{'010': 100}
49,ACK,6,011,110,1.000,DETERMINISTIC,0.000,1,{'110': 100}
50,ACK,6,100,011,1.000,DETERMINISTIC,0.000,1,{'011': 100}
51,ACK,6,101,111,1.000,DETERMINISTIC,0.000,1,{'111': 100}
52,ACK,6,110,001,1.000,DETERMINISTIC,0.000,1,{'001': 100}
53,ACK,6,111,101,1.000,DETERMINISTIC,0.000,1,{'101': 100}
54,ENQ,5,000,000,0.530,BELL_PAIR,0.997,2,"{'011': 47, '000': 53}"
55,ENQ,5,001,100,0.550,BELL_PAIR,0.993,2,"{'100': 55, '111': 45}"
56,ENQ,5,010,001,0.540,BELL_PAIR,0.995,2,"{'001': 54, '010': 46}"
57,ENQ,5,011,101,0.500,BELL_PAIR,1.000,2,"{'101': 50, '110': 50}"
