experiment_id,algorithm_name,operator_sequence,sequence_length,input_state,top_output_state,top_output_prob,entropy,complexity,distribution,num_unique_states,circuit_depth,circuit_gates,all_outputs
1,Quantum Teleportation,BEL → ENQ → ACK,3,000,000,0.270,1.995,MODERATE_ENTROPY,CLUSTERED,4,9,11,"{'000': 54, '001': 50, '110': 43, '111': 53}"
2,Quantum Teleportation,BEL → ENQ → ACK,3,001,100,0.285,1.988,MODERATE_ENTROPY,CLUSTERED,4,9,12,"{'101': 40, '011': 49, '100': 57, '010': 54}"
3,Quantum Teleportation,BEL → ENQ → ACK,3,010,101,0.265,1.999,MODERATE_ENTROPY,CLUSTERED,4,9,12,"{'100': 50, '011': 47, '010': 50, '101': 53}"
4,Quantum Teleportation,BEL → ENQ → ACK,3,011,110,0.275,1.997,MODERATE_ENTROPY,CLUSTERED,4,9,13,"{'111': 47, '000': 48, '110': 55, '001': 50}"
5,Quantum Teleportation,BEL → ENQ → ACK,3,100,001,0.290,1.992,MODERATE_ENTROPY,CLUSTERED,4,10,12,"{'001': 58, '000': 43, '111': 50, '110': 49}"
6,Quantum Teleportation,BEL → ENQ → ACK,3,101,011,0.305,1.985,MODERATE_ENTROPY,CLUSTERED,4,10,13,"{'011': 61, '100': 41, '101': 47, '010': 51}"
7,Quantum Teleportation,BEL → ENQ → ACK,3,110,011,0.315,1.984,MODERATE_ENTROPY,CLUSTERED,4,10,13,"{'010': 43, '011': 63, '101': 46, '100': 48}"
8,Quantum Teleportation,BEL → ENQ → ACK,3,111,000,0.330,1.968,MODERATE_ENTROPY,CLUSTERED,4,10,14,"{'110': 43, '000': 66, '001': 53, '111': 38}"
9,Cascading Bit Flip,SYN → BS → EOT,3,000,011,1.000,0.000,DETERMINISTIC,SINGLE_STATE,1,7,11,{'011': 200}
10,Cascading Bit Flip,SYN → BS → EOT,3,001,100,1.000,0.000,DETERMINISTIC,SINGLE_STATE,1,7,12,{'100': 200}
11,Cascading Bit Flip,SYN → BS → EOT,3,010,001,1.000,0.000,DETERMINISTIC,SINGLE_STATE,1,8,12,{'001': 200}
12,Cascading Bit Flip,SYN → BS → EOT,3,011,110,1.000,0.000,DETERMINISTIC,SINGLE_STATE,1,8,13,{'110': 200}
13,Cascading Bit Flip,SYN → BS → EOT,3,100,111,1.000,0.000,DETERMINISTIC,SINGLE_STATE,1,8,12,{'111': 200}
14,Cascading Bit Flip,SYN → BS → EOT,3,101,000,1.000,0.000,DETERMINISTIC,SINGLE_STATE,1,8,13,{'000': 200}
15,Cascading Bit Flip,SYN → BS → EOT,3,110,101,1.000,0.000,DETERMINISTIC,SINGLE_STATE,1,8,13,{'101': 200}
16,Cascading Bit Flip,SYN → BS → EOT,3,111,010,1.000,0.000,DETERMINISTIC,SINGLE_STATE,1,8,14,{'010': 200}
