experiment_id,input_string,operator_sequence,initial_state,output_state,output_prob,entropy,num_states
1,"Hello
",HT → ENQ → LF → LF → SOH → LF,000,011,0.185,2.958,8
2,"Hello
",HT → ENQ → LF → LF → SOH → LF,101,100,0.145,2.993,8
3,"Hello
",HT → ENQ → LF → LF → SOH → LF,111,110,0.155,2.989,8
4,BEBE,BEL → ETX → BEL → ETX,000,000,0.265,1.998,4
5,BEBE,BEL → ETX → BEL → ETX,101,011,0.315,1.985,4
6,BEBE,BEL → ETX → BEL → ETX,111,110,0.295,1.989,4
7,SSSS,SYN → SYN → SYN → SYN,000,000,1.000,0.000,1
8,SSSS,SYN → SYN → SYN → SYN,101,101,1.000,0.000,1
9,SSSS,SYN → SYN → SYN → SYN,111,111,1.000,0.000,1
10,ESE,ETX → SYN → ETX,000,000,1.000,0.000,1
11,ESE,ETX → SYN → ETX,101,100,1.000,0.000,1
12,ESE,ETX → SYN → ETX,111,111,1.000,0.000,1
13,BEL,BEL → ETX,000,101,0.275,1.994,4
14,BEL,BEL → ETX,101,001,0.305,1.974,4
15,BEL,BEL → ETX,111,111,0.290,1.986,4
