trigger,then_state,run,output,probability,success
010,000,1,000,1.0,True
010,000,2,000,1.0,True
010,000,3,000,1.0,True
010,000,4,000,1.0,True
010,000,5,000,1.0,True
101,000,1,100,1.0,False
101,000,2,100,1.0,False
101,000,3,100,1.0,False
101,000,4,100,1.0,False
101,000,5,100,1.0,False
011,000,1,100,1.0,False
011,000,2,100,1.0,False
011,000,3,100,1.0,False
011,000,4,100,1.0,False
011,000,5,100,1.0,False
110,000,1,010,1.0,False
110,000,2,010,1.0,False
110,000,3,010,1.0,False
110,000,4,010,1.0,False
110,000,5,010,1.0,False
111,000,1,110,1.0,False
111,000,2,110,1.0,False
111,000,3,110,1.0,False
111,000,4,110,1.0,False
111,000,5,110,1.0,False
000,000,1,000,1.0,True
000,000,2,000,1.0,True
000,000,3,000,1.0,True
000,000,4,000,1.0,True
000,000,5,000,1.0,True
